DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,decision,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,TOTAL,TOTAL_POS,FR,2018,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,TOTAL,TOTAL_POS,FR,2019,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y18-34,REJECTED,FR,2015,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y18-34,REJECTED,FR,2016,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y18-34,REJECTED,FR,2017,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y18-34,REJECTED,FR,2018,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y18-34,REJECTED,FR,2019,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y18-34,TOTAL_POS,FR,2015,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y18-34,TOTAL_POS,FR,2016,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y18-34,TOTAL_POS,FR,2017,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y18-34,TOTAL_POS,FR,2018,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y18-34,TOTAL_POS,FR,2019,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y35-64,REJECTED,FR,2015,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y35-64,REJECTED,FR,2016,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y35-64,REJECTED,FR,2017,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y35-64,REJECTED,FR,2018,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y35-64,REJECTED,FR,2019,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y35-64,TOTAL_POS,FR,2015,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y35-64,TOTAL_POS,FR,2016,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y35-64,TOTAL_POS,FR,2017,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y35-64,TOTAL_POS,FR,2018,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y35-64,TOTAL_POS,FR,2019,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_GE65,REJECTED,FR,2015,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_GE65,REJECTED,FR,2016,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_GE65,REJECTED,FR,2017,0,
